Index,Are you self-employed?,"If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to clients or business contacts?","If you have revealed a mental health issue to a client or business contact, do you believe this has impacted you negatively?",Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,Do you think that discussing a mental health disorder with your employer would have negative consequences?,"If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to coworkers or employees?",Would you feel comfortable discussing a mental health disorder with your coworkers?,Would you bring up a mental health issue with a potential employer in an interview?,Do you feel that being identified as a person with a mental health issue would hurt your career?,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?
1,0,,,I don't know,No,,Maybe,Maybe,Maybe,"No, I don't think they would"
2,0,,,Yes,No,,Maybe,No,"No, I don't think it would","No, I don't think they would"
3,0,,,I don't know,Maybe,,Maybe,Yes,Maybe,Maybe
4,1,"Sometimes, if it comes up",I'm not sure,,,Maybe,,Maybe,"Yes, I think it would",Maybe
5,0,,,No,Yes,,Maybe,No,"Yes, I think it would",Maybe
6,0,,,Yes,Yes,,Maybe,Maybe,"Yes, I think it would",Maybe
7,0,,,I don't know,No,,Maybe,Yes,"Yes, I think it would","No, I don't think they would"
8,0,,,Yes,No,,Maybe,No,Maybe,Maybe
9,0,,,I don't know,Yes,,Yes,Maybe,Maybe,"Yes, they do"
10,1,"No, because it doesn't matter",,,,Maybe,,Maybe,Maybe,"No, I don't think they would"
11,0,,,Yes,No,,Maybe,Yes,"No, I don't think it would",Maybe
12,0,,,I don't know,Yes,,No,No,"Yes, I think it would","Yes, I think they would"
13,0,,,Yes,No,,Yes,No,"No, it has not","No, they do not"
14,0,,,Yes,No,,No,No,Maybe,"Yes, I think they would"
15,0,,,Yes,No,,Yes,No,"No, it has not","No, they do not"
16,0,,,I don't know,Maybe,,Maybe,Maybe,Maybe,Maybe
17,0,,,I don't know,Maybe,,Maybe,No,"Yes, it has","No, I don't think they would"
18,0,,,I don't know,Maybe,,Yes,No,Maybe,Maybe
19,1,"No, because it would impact me negatively",Yes,,,No,,No,"Yes, it has","Yes, they do"
20,0,,,I don't know,Yes,,No,No,"Yes, I think it would","Yes, I think they would"
21,0,,,I don't know,No,,Maybe,No,"Yes, I think it would","Yes, I think they would"
22,0,,,I don't know,No,,Maybe,No,Maybe,Maybe
23,0,,,I don't know,Maybe,,Maybe,Maybe,Maybe,"No, I don't think they would"
24,0,,,I don't know,Maybe,,Maybe,No,"Yes, I think it would",Maybe
25,1,Not applicable to me,,,,Not applicable to me,,Maybe,Maybe,"No, I don't think they would"
26,0,,,Yes,No,,Maybe,Maybe,Maybe,"No, I don't think they would"
27,0,,,I don't know,Yes,,No,Maybe,"Yes, I think it would","Yes, I think they would"
28,0,,,I don't know,No,,No,No,"Yes, I think it would","Yes, I think they would"
29,0,,,I don't know,Maybe,,Maybe,No,"Yes, I think it would","No, I don't think they would"
30,0,,,Yes,No,,Yes,No,"Yes, I think it would","Yes, I think they would"
31,0,,,I don't know,Maybe,,Maybe,Maybe,"Yes, I think it would",Maybe
32,0,,,Yes,No,,Yes,No,"No, I don't think it would","No, they do not"
33,0,,,I don't know,Maybe,,No,No,Maybe,Maybe
34,1,"No, because it doesn't matter",No,,,Maybe,,Maybe,Maybe,Maybe
35,0,,,Yes,No,,Maybe,Yes,"No, I don't think it would","No, I don't think they would"
36,0,,,I don't know,Maybe,,No,No,"Yes, I think it would","Yes, I think they would"
37,0,,,Yes,No,,Yes,Yes,Maybe,Maybe
38,0,,,I don't know,No,,Yes,Maybe,Maybe,"Yes, I think they would"
39,0,,,I don't know,No,,Maybe,Maybe,Maybe,"No, I don't think they would"
40,0,,,I don't know,Maybe,,Yes,Yes,Maybe,Maybe
41,1,"No, because it doesn't matter",Yes,,,Maybe,,No,"Yes, I think it would","No, I don't think they would"
42,0,,,Yes,No,,Maybe,Maybe,"No, I don't think it would","No, I don't think they would"
43,0,,,Yes,Yes,,Yes,No,Maybe,Maybe
44,1,"No, because it would impact me negatively",I'm not sure,,,Maybe,,No,"Yes, I think it would","No, I don't think they would"
45,0,,,No,Maybe,,No,No,"Yes, I think it would","Yes, I think they would"
46,0,,,I don't know,Maybe,,Maybe,No,"Yes, I think it would","Yes, I think they would"
47,1,"Sometimes, if it comes up",I'm not sure,,,Maybe,,Maybe,"No, I don't think it would",Maybe
48,0,,,I don't know,Maybe,,No,Maybe,Maybe,Maybe
49,1,"No, because it doesn't matter",,,,Not applicable to me,,Yes,"No, I don't think it would",Maybe
50,0,,,Yes,No,,Yes,No,Maybe,Maybe
51,0,,,I don't know,Maybe,,No,No,"Yes, it has",Maybe
52,0,,,Yes,Maybe,,Yes,Yes,Maybe,Maybe
53,1,Not applicable to me,,,,Not applicable to me,,Maybe,Maybe,"No, I don't think they would"
54,0,,,I don't know,Maybe,,Maybe,No,Maybe,"No, I don't think they would"
55,0,,,I don't know,Maybe,,Maybe,No,"Yes, I think it would",Maybe
56,0,,,I don't know,Maybe,,Yes,No,Maybe,"No, I don't think they would"
57,0,,,I don't know,No,,Yes,Maybe,Maybe,"No, I don't think they would"
58,0,,,Yes,Maybe,,Maybe,No,"Yes, I think it would",Maybe
59,0,,,I don't know,No,,No,No,"No, I don't think it would",Maybe
60,0,,,I don't know,Maybe,,Maybe,Maybe,Maybe,"No, I don't think they would"
61,0,,,I don't know,No,,Maybe,Maybe,"Yes, I think it would","Yes, I think they would"
62,0,,,I don't know,Yes,,No,Maybe,"Yes, I think it would","Yes, I think they would"
63,0,,,I don't know,No,,Yes,Maybe,Maybe,"No, I don't think they would"
64,1,Not applicable to me,,,,Not applicable to me,,No,"Yes, I think it would","Yes, I think they would"
65,1,Not applicable to me,,,,Not applicable to me,,No,Maybe,Maybe
66,1,Not applicable to me,,,,Not applicable to me,,No,"No, I don't think it would","No, I don't think they would"
67,0,,,I don't know,Maybe,,Maybe,No,"Yes, I think it would","Yes, I think they would"
68,0,,,I don't know,Maybe,,No,No,"Yes, I think it would","Yes, I think they would"
69,0,,,Yes,Maybe,,No,No,"Yes, I think it would",Maybe
70,0,,,Yes,No,,No,No,Maybe,"Yes, I think they would"
71,1,Not applicable to me,,,,Maybe,,Maybe,Maybe,"No, I don't think they would"
72,0,,,I don't know,No,,Maybe,Maybe,Maybe,Maybe
73,0,,,I don't know,Yes,,No,No,"Yes, I think it would","Yes, I think they would"
74,0,,,I don't know,No,,Yes,Yes,Maybe,"No, I don't think they would"
75,0,,,Yes,No,,Maybe,No,Maybe,"No, I don't think they would"
76,0,,,I don't know,No,,Maybe,No,Maybe,"No, I don't think they would"
77,1,"No, because it would impact me negatively",Yes,,,No,,No,"No, I don't think it would","Yes, I think they would"
78,0,,,No,No,,Yes,Maybe,Maybe,"No, I don't think they would"
79,0,,,I don't know,Maybe,,No,No,Maybe,Maybe
80,0,,,Yes,No,,Maybe,Maybe,Maybe,"No, I don't think they would"
